Discussion (Weight: 7%):,Participation (Weight: 4%):,Worksheets (Weight: 15%):,Exams (Weight: 25%):,SA Writing (Weight: 24%):,Final Exam (Weight: 25%):,Total (Weight: 100%):
NaN,NaN,5/5 | 100.0%,NaN,NaN,NaN,NaN
NaN,NaN,4.68/5 | 93.6%,NaN,NaN,NaN,NaN
NaN,NaN,5/5 | 100.0%,NaN,NaN,NaN,NaN
NaN,NaN,5/5 | 100.0%,NaN,NaN,NaN,NaN
NaN,NaN,5/5 | 100.0%,NaN,NaN,NaN,NaN
NaN,NaN,5/5 | 100.0%,NaN,180/200 | 90.0%,NaN,NaN
NaN,NaN,5/5 | 100.0%,NaN,180/200 | 90.0%,NaN,NaN
NaN,NaN,4.9/4.9 | 100.0%,NaN,173/200 | 86.5%,NaN,NaN
10/10 | 100.0%,100/100 | 100.0%,5/5 | 100.0%,80/100 | 80.0%,200/200 | 100.0%,90/100 | 90.0%,NaN
Discussion Score: 100.0%,Participation Score: 100.0%,Worksheets Score: 99.29%,Exams Score: 80.0%,SA Writing Score: 91.62%,Final Exam Score: 90.0%,Total Score: 90.38%
